Job_ID,Job_Title,Company,Company_Size,Country,Experience_Level,Education_Required,Salary_USD,Required_Skills,Remote_Type,Posted_Month,Applicants,Job_Description
10001,ML Engineer,DataSphere,Medium,India,Mid,Bachelor's,65867,"Machine Learning, Python, PyTorch, TensorFlow, AWS",Hybrid,Feb,174,Deploy and optimize machine learning models in production.
10002,Business Analyst,NextGen AI,Startup,UK,Mid,Bachelor's,59659,"Tableau, Excel, SQL, Power BI",Hybrid,Mar,233,Gather requirements and improve business processes through data insights.
10003,ML Engineer,ByteWorks,Startup,Canada,Entry,Bachelor's,96237,"Python, PyTorch, TensorFlow, AWS",Remote,Dec,431,Deploy and optimize machine learning models in production.
10004,Data Scientist,DataSphere,Medium,Germany,Entry,Bachelor's,97584,"Python, PyTorch, TensorFlow, SQL, Machine Learning",Hybrid,Apr,402,Build predictive models and perform advanced analytics.
10005,AI Engineer,DataSphere,Medium,Germany,Entry,Bachelor's,124037,"PyTorch, Python, Machine Learning, AWS, TensorFlow",Hybrid,Aug,285,Build AI systems using deep learning and generative AI technologies.
10006,Data Scientist,Insight Corp,Enterprise,Singapore,Mid,Master's,117307,"Machine Learning, Python, PyTorch",Remote,May,225,Build predictive models and perform advanced analytics.
10007,Data Analyst,NextGen AI,Startup,UK,Senior,Master's,94495,"DAX, Power BI, SQL, Tableau",Hybrid,Apr,104,Analyze business data and create reports and dashboards.
10008,ML Engineer,Insight Corp,Enterprise,Singapore,Mid,Bachelor's,163103,"Machine Learning, AWS, Python",Remote,Feb,142,Deploy and optimize machine learning models in production.
10009,Business Analyst,InnoSoft,Enterprise,Australia,Mid,Master's,49683,"Power BI, Tableau, Excel, SQL",Hybrid,Nov,148,Gather requirements and improve business processes through data insights.
10010,BI Developer,DataSphere,Medium,Canada,Mid,Master's,84718,"DAX, Excel, SQL, Power BI",On-site,Nov,50,Develop interactive dashboards and business intelligence solutions.
10011,Data Engineer,NextGen AI,Startup,USA,Entry,Master's,96174,"Spark, SQL, Python, AWS",On-site,May,423,Design and maintain data pipelines and data warehouses.
10012,Business Analyst,TechNova,Startup,USA,Senior,Master's,72257,"SQL, Excel, Tableau",Hybrid,May,71,Gather requirements and improve business processes through data insights.
10013,Data Engineer,ByteWorks,Startup,USA,Senior,Master's,162184,"Spark, SQL, AWS, Python",Remote,Apr,232,Design and maintain data pipelines and data warehouses.
10014,Data Analyst,CloudMatrix,Medium,India,Mid,Master's,33795,"DAX, Python, SQL, Tableau, Excel",Remote,Feb,278,Analyze business data and create reports and dashboards.
10015,Data Engineer,NextGen AI,Startup,Canada,Mid,Bachelor's,109522,"AWS, Python, SQL, Spark",Remote,Feb,188,Design and maintain data pipelines and data warehouses.
10016,Data Analyst,ByteWorks,Startup,Canada,Mid,Bachelor's,80331,"DAX, Python, Tableau, SQL, Excel",Remote,Apr,236,Analyze business data and create reports and dashboards.
10017,Business Analyst,NextGen AI,Startup,UK,Mid,Bachelor's,76104,"Excel, SQL, Tableau",Remote,Nov,96,Gather requirements and improve business processes through data insights.
10018,Data Engineer,TechNova,Startup,India,Senior,PhD,76307,"AWS, Python, Spark",Hybrid,Jan,194,Design and maintain data pipelines and data warehouses.
10019,Data Scientist,Insight Corp,Enterprise,Australia,Mid,Bachelor's,120811,"PyTorch, SQL, Python, TensorFlow, Machine Learning",Hybrid,Jan,158,Build predictive models and perform advanced analytics.
10020,Data Engineer,TechNova,Startup,Singapore,Entry,Bachelor's,77493,"SQL, Python, Spark, AWS",Hybrid,Oct,421,Design and maintain data pipelines and data warehouses.
10021,Data Analyst,NextGen AI,Startup,Germany,Entry,Bachelor's,55021,"DAX, Tableau, Excel, SQL",Hybrid,Nov,308,Analyze business data and create reports and dashboards.
10022,ML Engineer,CloudMatrix,Medium,USA,Entry,Bachelor's,102154,"Python, AWS, PyTorch",Hybrid,Feb,397,Deploy and optimize machine learning models in production.
10023,Data Engineer,NextGen AI,Startup,UK,Entry,Bachelor's,108670,"AWS, Spark, SQL",Hybrid,Nov,229,Design and maintain data pipelines and data warehouses.
10024,AI Engineer,Insight Corp,Enterprise,Singapore,Entry,Master's,102220,"Machine Learning, TensorFlow, AWS, PyTorch, Python",On-site,Apr,246,Build AI systems using deep learning and generative AI technologies.
10025,ML Engineer,Insight Corp,Enterprise,UK,Mid,Master's,103115,"Python, Machine Learning, TensorFlow, AWS",Hybrid,Mar,73,Deploy and optimize machine learning models in production.
10026,ML Engineer,Analytica,Enterprise,UK,Mid,Bachelor's,178333,"TensorFlow, Python, Machine Learning, AWS, PyTorch",Remote,Jan,52,Deploy and optimize machine learning models in production.
10027,BI Developer,CloudMatrix,Medium,Australia,Senior,Master's,75764,"SQL, Power BI, DAX",Remote,Apr,141,Develop interactive dashboards and business intelligence solutions.
10028,AI Engineer,InnoSoft,Enterprise,Australia,Senior,Master's,207417,"AWS, TensorFlow, Machine Learning, Python",Remote,Jul,56,Build AI systems using deep learning and generative AI technologies.
10029,AI Engineer,TechNova,Startup,Australia,Mid,Bachelor's,130677,"TensorFlow, Python, PyTorch",Remote,Jul,167,Build AI systems using deep learning and generative AI technologies.
10030,BI Developer,Insight Corp,Enterprise,Australia,Entry,Bachelor's,61462,"DAX, SQL, Excel, Power BI",Hybrid,Oct,369,Develop interactive dashboards and business intelligence solutions.
10031,BI Developer,TechNova,Startup,India,Mid,Bachelor's,40867,"SQL, Power BI, Excel, DAX",Remote,Dec,386,Develop interactive dashboards and business intelligence solutions.
10032,Data Scientist,TechNova,Startup,UK,Senior,PhD,137988,"TensorFlow, PyTorch, SQL, Python, Machine Learning",Hybrid,Nov,143,Build predictive models and perform advanced analytics.
10033,Data Scientist,CloudMatrix,Medium,Germany,Mid,Master's,97518,"Machine Learning, TensorFlow, PyTorch, Python",Hybrid,May,99,Build predictive models and perform advanced analytics.
10034,Business Analyst,ByteWorks,Startup,Australia,Mid,Bachelor's,68757,"SQL, Power BI, Tableau, Excel",Hybrid,May,169,Gather requirements and improve business processes through data insights.
10035,Data Engineer,CloudMatrix,Medium,India,Senior,Master's,76164,"SQL, Python, Spark",Remote,Aug,311,Design and maintain data pipelines and data warehouses.
10036,Data Engineer,DataSphere,Medium,Germany,Mid,Bachelor's,113045,"AWS, Python, Spark, SQL",Hybrid,Jul,233,Design and maintain data pipelines and data warehouses.
10037,Business Analyst,InnoSoft,Enterprise,Australia,Senior,PhD,106479,"Excel, SQL, Tableau",Remote,Nov,168,Gather requirements and improve business processes through data insights.
10038,Data Engineer,CloudMatrix,Medium,Australia,Senior,PhD,203273,"AWS, Python, SQL, Spark",On-site,Apr,159,Design and maintain data pipelines and data warehouses.
10039,AI Engineer,Insight Corp,Enterprise,Australia,Mid,Master's,172706,"Python, PyTorch, Machine Learning, TensorFlow",Remote,Jun,210,Build AI systems using deep learning and generative AI technologies.
10040,Data Engineer,DataSphere,Medium,USA,Entry,Master's,125205,"AWS, SQL, Spark",Hybrid,Jul,366,Design and maintain data pipelines and data warehouses.
10041,Data Analyst,NextGen AI,Startup,Australia,Mid,Master's,52065,"Python, Excel, Tableau, SQL",Hybrid,Sep,245,Analyze business data and create reports and dashboards.
10042,ML Engineer,NextGen AI,Startup,Germany,Entry,Master's,127912,"AWS, TensorFlow, Machine Learning, Python, PyTorch",Hybrid,Oct,281,Deploy and optimize machine learning models in production.
10043,Data Engineer,TechNova,Startup,India,Mid,Master's,52192,"Spark, Python, SQL, AWS",Remote,Jul,241,Design and maintain data pipelines and data warehouses.
10044,BI Developer,ByteWorks,Startup,Canada,Senior,Master's,109917,"DAX, SQL, Excel",Hybrid,Jan,54,Develop interactive dashboards and business intelligence solutions.
10045,Business Analyst,NextGen AI,Startup,Australia,Entry,Master's,44987,"SQL, Tableau, Power BI",Hybrid,Mar,243,Gather requirements and improve business processes through data insights.
10046,Data Engineer,DataSphere,Medium,Australia,Senior,Master's,166705,"AWS, SQL, Python, Spark",Hybrid,Feb,77,Design and maintain data pipelines and data warehouses.
